"year","season_canada","month","day","disaster_group","total_count"
1900,"spring",4,26,"Technology","2"
1901,"winter",1,1,"Technology","2"
1902,"winter",1,1,"Technology","1"
1902,"spring",5,22,"Technology","1"
1903,"winter",1,1,"Technology","1"
1904,"spring",4,19,"Technology","1"
1906,"winter",1,1,"Technology","1"
1907,"summer",8,29,"Technology","1"
1908,"summer",8,1,"Technology","1"
1910,"winter",1,21,"Technology","1"
1914,"spring",5,28,"Technology","1"
1914,"spring",6,19,"Technology","1"
1915,"winter",1,1,"Technology","1"
1915,"winter",2,1,"Technology","1"
1916,"winter",2,3,"Technology","1"
1916,"summer",9,11,"Technology","1"
1917,"winter",1,1,"Technology","1"
1917,"summer",7,25,"Technology","1"
1917,"fall",12,6,"Technology","2"
1918,"winter",1,23,"Technology","1"
1918,"fall",10,23,"Technology","2"
1918,"fall",10,12,"Technology","1"
1921,"winter",1,1,"Technology","2"
1922,"winter",1,1,"Technology","1"
1923,"winter",1,1,"Technology","1"
1927,"winter",1,9,"Technology","1"
1930,"winter",1,1,"Technology","2"
1936,"spring",4,12,"Technology","1"
1936,"summer",8,15,"Technology","1"
1938,"fall",12,6,"Technology","2"
1939,"winter",2,2,"Technology","1"
1942,"winter",12,27,"Technology","1"
1943,"summer",9,10,"Technology","1"
1943,"fall",10,19,"Technology","1"
1945,"summer",7,18,"Technology","1"
1946,"summer",9,15,"Technology","1"
1947,"summer",9,1,"Technology","1"
1949,"summer",9,17,"Technology","1"
1950,"winter",1,1,"Technology","3"
1950,"fall",11,21,"Technology","1"
1951,"winter",2,9,"Technology","1"
1952,"winter",1,14,"Technology","1"
1954,"spring",4,7,"Technology","1"
1956,"fall",11,1,"Technology","1"
1957,"winter",1,1,"Technology","1"
1957,"summer",8,11,"Technology","1"
1958,"spring",6,17,"Technology","1"
1958,"fall",10,23,"Technology","1"
1958,"fall",11,7,"Technology","1"
1959,"winter",1,1,"Technology","1"
1960,"winter",1,1,"Technology","1"
1960,"winter",2,4,"Technology","1"
1963,"spring",6,3,"Technology","2"
1963,"fall",11,29,"Technology","1"
1965,"winter",3,1,"Technology","1"
1965,"summer",7,8,"Technology","1"
1966,"winter",1,1,"Technology","3"
1966,"winter",3,4,"Technology","1"
1967,"winter",1,1,"Technology","2"
1969,"winter",1,1,"Technology","1"
1969,"fall",12,2,"Technology","1"
1970,"summer",7,5,"Technology","1"
1974,"fall",10,30,"Technology","1"
1976,"winter",2,1,"Technology","1"
1976,"winter",12,26,"Technology","1"
1977,"winter",1,1,"Technology","1"
1978,"winter",1,24,"Technology","1"
1978,"winter",2,11,"Technology","1"
1978,"spring",4,12,"Technology","1"
1978,"summer",8,4,"Technology","1"
1979,"winter",2,24,"Technology","1"
1979,"winter",2,21,"Technology","1"
1979,"spring",3,29,"Technology","1"
1979,"fall",11,10,"Technology","1"
1980,"winter",1,1,"Technology","1"
1980,"spring",5,28,"Technology","1"
1980,"summer",7,14,"Technology","1"
1981,"spring",4,29,"Technology","1"
1982,"winter",1,1,"Technology","1"
1982,"winter",2,28,"Technology","1"
1982,"winter",2,1,"Technology","1"
1983,"winter",1,10,"Technology","1"
1983,"spring",6,2,"Technology","2"
1984,"winter",1,1,"Technology","1"
1985,"winter",1,1,"Technology","1"
1985,"fall",12,12,"Technology","1"
1986,"winter",1,21,"Technology","1"
1986,"winter",2,8,"Technology","1"
1986,"spring",3,31,"Technology","1"
1986,"spring",5,30,"Technology","1"
1986,"fall",10,26,"Technology","2"
1987,"fall",10,1,"Technology","1"
1987,"fall",11,17,"Technology","1"
1988,"winter",3,7,"Technology","1"
1988,"spring",5,24,"Technology","1"
1988,"spring",5,10,"Technology","1"
1988,"spring",5,8,"Technology","1"
1988,"summer",8,23,"Technology","1"
1988,"fall",12,17,"Technology","1"
1989,"winter",1,1,"Technology","3"
1989,"winter",3,10,"Technology","1"
1989,"summer",9,12,"Technology","1"
1989,"fall",9,29,"Technology","1"
1989,"fall",10,2,"Technology","1"
1990,"winter",2,23,"Technology","1"
1990,"winter",3,19,"Technology","1"
1990,"spring",4,23,"Technology","1"
1990,"spring",5,16,"Technology","1"
1990,"summer",7,23,"Technology","1"
1991,"winter",1,11,"Technology","1"
1991,"spring",5,1,"Technology","1"
1991,"summer",7,22,"Technology","1"
1991,"summer",7,11,"Technology","1"
1991,"summer",7,9,"Technology","1"
1991,"summer",8,5,"Technology","1"
1991,"fall",9,26,"Technology","1"
1991,"fall",10,8,"Technology","1"
1991,"fall",11,20,"Technology","1"
1992,"winter",1,31,"Technology","1"
1992,"winter",1,21,"Technology","1"
1992,"winter",3,19,"Technology","1"
1992,"winter",3,13,"Technology","1"
1992,"winter",12,21,"Technology","1"
1992,"spring",3,26,"Technology","1"
1992,"spring",5,25,"Technology","1"
1992,"spring",5,9,"Technology","1"
1992,"fall",12,18,"Technology","1"
1993,"spring",4,27,"Technology","1"
1993,"summer",7,14,"Technology","1"
1993,"fall",10,17,"Technology","1"
1993,"fall",11,26,"Technology","1"
1994,"spring",5,25,"Technology","1"
1994,"fall",10,21,"Technology","1"
1994,"fall",10,17,"Technology","1"
1995,"winter",1,21,"Technology","1"
1995,"summer",8,11,"Technology","1"
1995,"fall",11,16,"Technology","1"
1997,"summer",7,10,"Technology","1"
1998,"summer",7,10,"Technology","1"
1998,"summer",9,2,"Technology","1"
1999,"winter",1,25,"Technology","1"
1999,"winter",12,30,"Technology","1"
1999,"spring",4,23,"Technology","1"
1999,"summer",7,16,"Technology","3"
1999,"summer",8,9,"Technology","1"
1999,"summer",9,3,"Technology","1"
2000,"summer",8,1,"Technology","1"
2000,"fall",11,27,"Technology","1"
2002,"spring",4,14,"Technology","1"
2002,"spring",5,30,"Technology","1"
2002,"spring",5,14,"Technology","1"
2002,"summer",6,21,"Technology","1"
2002,"summer",7,30,"Technology","1"
2002,"summer",8,12,"Technology","1"
2002,"fall",11,16,"Technology","1"
2003,"summer",8,14,"Technology","3"
2004,"summer",8,10,"Technology","1"
2005,"fall",9,28,"Technology","1"
2005,"fall",12,13,"Technology","1"
2006,"summer",7,24,"Technology","1"
2006,"summer",8,15,"Technology","2"
2007,"spring",5,25,"Technology","1"
2007,"spring",6,3,"Technology","1"
2007,"summer",7,21,"Technology","1"
2007,"summer",7,5,"Technology","1"
2008,"summer",7,20,"Technology","1"
2008,"summer",8,10,"Technology","1"
2011,"summer",8,20,"Technology","1"
2012,"winter",2,26,"Technology","1"
2014,"summer",8,4,"Technology","1"
2015,"winter",3,7,"Technology","1"
2015,"spring",3,28,"Technology","1"
2015,"spring",4,8,"Technology","1"
2015,"summer",6,29,"Technology","1"
2016,"summer",7,21,"Technology","1"
2016,"summer",8,4,"Technology","1"
2016,"fall",10,13,"Technology","1"
